data,titolo,descrizione,relatore,streaming,download
2013-01-06,Iniziare con una identità,/,P.M.,/,https://mega.nz/#!AVhiTLoT!haCwpDoidWZsbEL4VobcZJar7XSGu6P0SMzBtUJNWko
2013-01-13,Volare come aquile,/,B.F.,/,https://mega.nz/#!0EwF3KiI!gjPfHc_JBG305gnfTAYzjIjzHNS4bT3dc9m5dLr_x8s
2013-01-13,Testimonianza,/,,//,https://mega.nz/#!hYQzRDjJ!etxFRe7U3q7P1bZYGBReG5mVqe6yJYkKhROjr-g5YFw
2013-01-27,Soffio vitale di Dio,/,P.M.,/,https://mega.nz/#!pR5XmBKK!WqeSBThGAgsO2xrbFltbQrWj3XWk8W_i439MA1LqzZE
2013-02-03,Prepara le parole,/,P.M.,/,https://mega.nz/#!8YhXUThA!CAOIUKrIlPcYnIHiWvomSpdih-2oqhnj4Fi3fxf_VKY
2013-02-17,La potenza della pietà,/,P.M.,/,https://mega.nz/#!JNBEhTZQ!GR2-eVjI8jFvlyX-Ztg4uVjh-Ilb0M9urMga55eQpFE
2013-02-24,Resistere nella tempesta,/,P.M.,/,https://mega.nz/#!JBQXCKzJ!s4HopfgKkWgyCV3LJypZrjlIEYfWR5ZdwPhN57GfjsU
2013-03-10,La forza della fede,/,S.R.,/,https://mega.nz/#!kIAQXI7D!XrcugDer4-fDKXbgyR26FE8V4sbZpnt-56B4xvdF24Q
2013-03-17,Il battito cardiaco di Dio,/,P.M.,/,https://mega.nz/#!UNxQlRhT!MmjzEkfX2WXOJ1hZ8l358RwTBOBFKv1e3GZVCBjaS8c
2013-03-31,/,/,G.P.,/,https://mega.nz/#!YURXyDJR!1TrvDQ_hQ0y7eiDClJV2OJxQqIXKI1KaW2c-xCzVggw
2013-04-07,Rhema,/,P.M.,/,https://mega.nz/#!9FgUmJQb!lOQAENIZYRmcdHzUNhJkl0CXtpjLGtnuzHbjpFUetkM
2013-04-14,Opera in Dio,/,G.A.,/,https://mega.nz/#!kQRlyYYC!W3JLAWg8vrh9w7MugU8aT0jDV_Nr9kknINHC1jk56As
2013-04-21,La croce del discepolo,/,P.M.,/,https://mega.nz/#!AAhVwYjK!8-EJn6YcudrnF277rcOP_V8CjYSkbKONELCVcKjP2jo
2013-04-28,Le nostre aspettative con Dio,/,K.L.,/,https://mega.nz/#!9dgDABQS!BEUaSMe1GptdHL9Llp-NdQ6DSsSl9NvPhv4NWuLADbw
2013-04-28,Non arrenderti,/,K.L.,/,https://mega.nz/#!hMQx3CIY!ZKiQYfNYve2X8fu19swRSvfdEm1qR6253KZOSbIp-ko
2013-05-05,Ripercussioni della croce,/,P.M.,/,https://mega.nz/#!ZAQV0CpB!QQsB268s73beNxHi9F8h38sbQyYsTbRcqmlvxI0-Tc0
2013-05-12,Strade da seguire,/,B.F.,/,https://mega.nz/#!MQxAzQqL!EBI-Vs40IVDENqAaux8KWPNKLnN1nnZHmPt8amXFOVc
2013-05-19,Custodisci il tesoro,/,P.M.,/,https://mega.nz/#!gEgnhSCR!0VJ19xAaT_mxttZD4q44qEylsYyzBEguAtOOMATLiKs
2013-05-24,Conferenza-Dov'è il tuo tesoro,/,M.D.,/,https://mega.nz/#!5ABz1YzC!qPSxLU6Viw2Yiukeksze7Zuh5dmuVzK7jBFMpZarbY0
2013-06-02,/,/,/,/,https://mega.nz/#!QYo2xJhQ!xH4HE0ucx4NWmMl3NF6j0Vy-uTTaPinrqkuQbG36Es0
2013-06-06,Preoccuparmi o curarmi,/,P.M.,/,https://mega.nz/#!oM5jWaKJ!EEBSXqlXYo_jsH9kCK93jFDVe1B4UJ9i_nrE5hHD5W8
2013-06-23,/,/,/,/,https://mega.nz/#!dQZSBSgZ!SyQrq-w-eA--s40bLlGoLZN-qTuUneE5GdlumPsc7JM
